ancho,largo
47,50
79,56
93,95
101,85
60,30
81,47
41,86
35,32
97,131
61,64
45,62
125,85
63,139
50,66
74,70
107,77
195,130
92,98
21,16
24,42
149,109
68,53
52,29
52,52
18,51
79,25
52,64
51,50
40,50
48,68
26,53
76,50
74,58
58,40
47,40
74,71
89,62
150,62
50,78
189,153
79,100
160,79
154,82
17,110
35,93
72,161
15,116
20,65
27,60
70,120
16,52
78,195
20,47
20,54
29,60
17,78
70,118
25,67
73,140
20,21
195,162
106,72
53,50
32,10
84,72
28,14
95,53
37,58
47,42
10,10
30,14
23,8
84,75
33,18
51,121
39,27
36,8
54,52
26,7
35,33
25,45
20,19
78,26
82,17
45,25
88,71
30,59
51,38
160,65
98,63
42,38
41,55
22,38
18,20
60,50
26,43
53,188
98,63
50,86
32,33
27,18
42,15
151,88
25,20
36,41
87,80
27,19
141,93
161,48
111,111
74,48
78,33
175,67
22,42
109,78
54,45
81,48
61,82
46,101
62,70
25,43
38,98
155,70
63,99
134,69
29,24
30,25
50,24
104,109
22,45
161,85
45,26
50,84
83,95
86,78
64,67
57,80
65,65
16,20
34,31
141,124
47,100
49,37
36,21
46,30
30,43
16,57
38,24
55,58
37,77
57,21
84,66
47,35
28,63
42,52
27,74
64,96
33,46
34,31
39,40
75,73
68,42
20,43
21,18
58,28
74,42
93,106
75,40
60,80
70,130
40,40
50,50
20,50
20,30
10,40
20,50
107,128
46,50
30,33
85,102
38,25
74,48
18,22
42,26
52,35
33,92
30,44
58,35
57,36
33,36
45,40
43,56
30,31
60,42
32,52
45,50
58,47
26,13
50,46
78,110
40,50
20,20
67,30
42,22
60,90
40,46
20,30
52,50
90,23
60,83
44,32
98,46
40,20
66,20
40,37
30,17
46,104
29,65
136,168
63,92
37,82
14,58
40,92
45,72
60,104
22,45
90,216
178,131
57,95
89,115
54,96
110,191
36,87
31,108
28,90
114,182
30,45
24,41
107,73
83,87
75,83
51,80
51,100
51,61
24,46
83,69
66,76
40,68
59,50
35,24
37,38
86,78
40,64
44,22
52,75
63,114
50,90
53,80
94,134
50,86
73,40
73,82
150,74
20,37
38,54
120,60
57,49
62,68
30,35
35,35
50,30
24,20
110,75
77,86
60,85
26,28
64,53
41,48
90,130
84,70
168,55
43,132
61,45
76,48
80,24
88,80
143,73
60,50
20,22
83,27
72,34
30,19
47,20
77,70
133,26
124,40
42,24
100,25
104,44
50,35
20,52
60,38
80,60
27,47
120,45
95,145
37,78
75,100
65,100
38,70
83,115
42,110
27,48
21,44
48,117
82,173
20,56
28,173
20,40
45,38
32,73
24,17
88,32
40,30
15,25
55,66
56,110
52,55
50,55
121,53
130,44
100,65
50,48
38,50
56,40
84,38
72,48
150,24
70,56
158,47
130,40
33,94
15,18
76,57
75,48
21,16
100,95
88,40
50,88
42,105
42,53
39,170
88,75
60,56
115,175
27,30
30,45
17,40
63,63
20,19
25,22
45,32
22,34
50,50
16,6
30,38
100,105
83,56
35,45
134,44
62,18
44,85
52,52
33,32
39,33
49,110
178,65
36,84
70,26
25,20
97,78
145,100
50,60
30,66
73,70
25,33
50,120
40,40
90,38
60,185
50,60
50,50
30,24
37,22
21,21
17,10
75,33
40,72
26,70
47,50
30,72
140,65
30,35
120,68
45,50
80,90
10,30
30,24
150,20
65,30
154,20
63,98
33,95
186,18
65,22
64,71
79,15
46,21
23,33
44,16
82,67
47,70
70,80
75,63
174,106
156,70
97,52
119,76
86,17
40,22
40,38
53,65
40,11
161,157
33,30
38,22
116,71
115,85
37,65
58,75
25,100
60,85
70,90
45,43
16,42
29,37
60,37
70,52
100,65
30,23
20,46
35,60
28,55
90,48
90,25
75,27
28,15
32,46
41,33
35,24
42,39
29,62
114,49
80,72
125,53
134,119
70,65
18,21
43,21
88,26
153,180
92,98
52,48
102,36
62,18
70,23
29,53
35,7
50,25
117,29
25,25
34,15
17,35
60,20
25,16
36,40
52,29
39,28
37,23
45,48
41,39
86,21
50,32
45,40
24,28
45,40
19,16
37,32
29,19
34,23
47,39
50,37
78,142
96,81
87,49
85,54
26,49
56,70
188,82
44,45
47,39
60,60
22,31
31,20
11,10
60,100
28,28
61,18
14,25
126,80
38,64
65,42
41,137
123,103
10,21
80,156
23,33
24,52
32,48
54,99
42,47
54,64
29,28
85,22
23,24
40,13
19,19
88,30
38,19
25,29
27,26
91,48
33,20
115,34
41,31
49,20
16,30
51,31
29,28
30,28
14,28
43,33
23,26
17,29
42,10
55,73
12,17
24,17
27,28
31,28
49,20
17,12
52,87
44,38
28,20
66,60
116,47
38,46
88,53
34,25
182,98
65,24
42,23
22,26
30,30
32,24
79,42
50,25
59,38
53,50
103,102
128,58
112,73
165,98
155,40
151,49
60,56
97,82
127,112
78,84
67,26
22,44
78,56
117,50
90,66
68,36
53,70
63,82
88,74
104,127
44,95
54,92
86,84
64,40
112,88
64,32
72,49
33,36
56,27
44,85
164,112
56,90
46,25
62,129
58,98
69,65
63,117
127,57
83,76
191,90
97,72
62,99
87,68
70,53
63,85
142,84
39,36
180,106
74,51
51,27
54,69
31,17
21,15
51,39
107,79
75,62
89,51
74,30
55,68
66,39
52,113
82,74
149,82
99,162
64,99
127,122
111,79
156,81
62,107
116,133
87,77
56,137
44,42
81,159
70,126
52,43
83,73
53,67
102,37
14,20
37,65
44,20
22,40
60,50
90,35
45,45
94,88
65,42
36,28
24,50
46,45
98,86
112,22
43,42
103,194
55,53
38,38
47,16
60,20
123,75
26,16
33,18
170,50
56,37
32,39
26,77
66,43
110,186
51,45
71,98
22,35
71,47
23,20
40,50
44,41
73,54
83,36
152,50
20,26
25,30
16,20
54,25
32,24
104,56
91,55
50,39
64,35
196,103
88,56
26,22
38,26
20,28
95,92
82,92
70,45
91,31
60,15
44,41
32,18
160,157
87,74
38,59
120,67
27,16
30,42
48,33
28,17
21,20
42,49
24,24
28,25
57,56
76,86
16,24
170,16
94,50
24,8
108,64
38,40
37,62
130,25
58,46
78,30
51,65
71,27
45,26
26,22
45,11
14,23
22,12
39,30
30,13
14,6
85,71
26,37
52,27
98,78
90,80
45,45
130,130
50,30
87,48
36,36
97,43
19,40
35,65
60,25
23,23
34,18
30,19
30,8
90,44
75,70
28,31
50,17
20,26
66,44
50,30
36,36
97,43
60,25
75,70
100,112
163,34
48,30
22,45
13,23
45,30
63,17
54,39
45,105
29,42
43,43
44,19
44,19
54,44
35,32
76,63
85,80
95,130
60,70
115,50
30,80
135,45
35,20
55,18
38,14
41,20
55,88
45,95
115,93
90,75
60,40
60,40
50,90
52,50
70,60
105,30
90,110
55,100
80,40
75,67
45,25
54,63
70,26
25,30
75,70
65,18
44,34
90,80
68,48
18,40
23,33
51,29
85,80
60,70
115,50
135,45
35,20
199,46
92,46
63,30
97,57
43,20
74,43
185,36
63,27
51,27
35,34
54,48
61,28
19,61
131,13
12,25
29,23
121,83
116,20
23,20
46,45
53,43
30,43
32,30
63,39
28,21
31,13
24,16
25,12
13,11
141,53
40,30
38,32
143,75
30,28
46,36
100,18
98,88
68,98
76,36
76,43
135,83
76,74
43,31
78,74
49,28
70,58
36,29
88,60
78,42
65,28
146,98
82,83
167,141
61,49
40,39
88,42
30,21
52,21
47,24
33,20
44,34
59,35
62,29
53,62
35,19
58,27
31,37
31,24
67,28
84,91
40,25
73,55
44,40
72,49
46,47
28,74
151,58
53,19
145,118
132,98
28,19
98,102
137,50
138,108
73,140
37,18
20,67
131,88
127,49
42,36
83,70
85,45
42,29
148,15
23,23
16,22
20,37
56,55
49,58
69,34
53,32
125,36
80,84
43,43
47,32
76,70
25,13
53,30
25,31
45,72
51,29
36,77
22,19
113,91
31,30
30,39
31,25
24,22
139,34
26,79
129,55
110,38
27,15
31,42
117,126
44,42
105,91
28,25
55,35
69,42
60,16
30,19
20,40
46,36
50,43
48,67
24,32
26,27
149,82
27,87
80,40
113,190
71,78
43,35
59,37
55,31
42,40
77,31
58,24
48,103
